Year,Word,ManSyl,length
2001,Osama bin Laden,6,15
2001,Michael Jackson,4,15
2001,George Harrison,4,15
2002,Zinedine Zidane,4,15
2002,Serena Williams,5,15
2002,Natalie Portman,5,15
2002,Die Another Day,5,15
2002,Winter Olympics,5,15
2003,USGS Earthquake,,15
2003,Earthquake News,3,15
2003,Bertrand Cantat,4,15
2003,Elizabeth Smart,5,15
2003,Winnie the Pooh,4,15
2004,Lance Armstrong,3,15
2006,Seahawks Jersey,,15
2006,Where is Torino,5,15
2006,Where is Darfur,4,15
2006,Where is Angola,5,15
2006,Who is Muhammad,5,15
2006,What is Vicodin,5,15
2006,What is Xenical,,15
2006,How to Levitate,5,15
2006,How to Kickflip,4,15
2007,Bill Richardson,4,15
2007,Silent Ringtone,,15
2007,Weight Watchers,3,15
2007,How to Meditate,5,15
2007,Umbrella Lyrics,,15
2007,Dog Food Recipe,,15
2007,Vanessa Hudgens,5,15
2008,Joe The Plumber,4,15
2008,Jeremiah Wright,,15
2008,Phillies Mascot,,15
2008,Stanford Mascot,,15
2008,Boyd Coddington,,15
2009,Eurovision 2009,,15
2009,Google Maps App,,15
2009,UK Economy 2009,,15
2010,Blackberry Apps,4,15
2010,Duracell myGrid,,15
2010,MySpace Layouts,4,15
2010,Donate to Haiti,,15
2011,Shopping Centre,,15
2012,United Airlines,5,15
2012,British Airways,,15
2012,Nokia Lumia 920,,15
2012,Whitney Houston,,15
2012,Game of Thrones,3,15
2012,McKayla Maroney,6,15
2012,Mario Balotelli,,15
2012,Hurricane Sandy,5,15
2013,Oscar Pistorius,6,15
2013,Aaron Hernandez,5,15
2013,Adrian Peterson,6,15
2013,Boston Marathon,5,15
2013,Australian Open,5,15
2013,Despicable Me 2,6,15
2013,Chennai Express,,15
2014,James Rodriguez,,15
2014,Richard Sherman,2,15
2014,Gaza and Israel,,15
2014,Brazil vs Chile,,15
2014,Renee Zellweger,,15
2014,Donald Sterling,4,15
2015,American Sniper,6,15
2015,Jeremy Clarkson,,15
2015,Christopher Lee,,15
2015,Naomi Kawashima,,15
2015,Baltimore Riots,5,15
2015,Chris Stapleton,,15
2015,Rugby World Cup,4,15
2016,Hillary Clinton,,15
2016,The Conjuring 2,,15
2016,Stranger Things,3,15
2016,Nintendo Switch,4,15
2016,Dallas Shooting,4,15
2017,Hurricane Maria,6,15
2017,Cash Me Outside,4,15
2017,French election,4,15
2018,Stephen Hawking,4,15
2018,Brett Kavanaugh,4,15
2018,Grande Fratello,,15
2018,Daniel Küblböck,,15
2018,Aretha Franklin,5,15
2019,Jussie Smollett,,15
2019,Joaquin Phoenix,4,15
2019,Zion Williamson,5,15
2019,Jeffrey Epstein,4,15
2019,The Mandalorian,6,15
2001,American Pie 2,6,14
2001,New York Times,3,14
2001,Tour de France,3,14
2001,Dale Earnhardt,3,14
2001,Moorhuhn Three,3,14
2001,Britney Spears,3,14
2001,Jennifer Lopez,5,14
2001,Barnes & Noble,4,14
2001,Michael Jordan,4,14
2002,Venus Williams,4,14
2002,Carmen Electra,5,14
2002,Angelina Jolie,6,14
2002,Hurricane Lili,5,14
2002,Marilyn Manson,5,14
2004,Nissan Skyline,4,14
2004,Low-Rise Jeans,3,14
2004,Digital Camera,5,14
2004,Manolo Blahnik,5,14
2004,Embassy Suites,4,14
2004,Boston Red Sox,4,14
2004,Kenneth Bigley,4,14
2004,George W. Bush,5,14
2004,Saddam Hussein,4,14
2004,Martha Stewart,4,14
2006,England Jersey,,14
2006,Martina Hingis,5,14
2006,2006 NFL Draft,9,14
2006,Where is Dubai,4,14
2006,How to Podcast,4,14
2006,Define Web 2.0,6,14
2006,Define Calidad,5,14
2006,Define Ciencia,,14
2007,Vonage Lawsuit,,14
2007,iPhone Lawsuit,,14
2007,Hilary Clinton,5,14
2007,Who Is Calling,4,14
2007,Who Is Keppler,4,14
2007,Best Life Diet,,14
2007,How to Crochet,4,14
2007,Hannah Montana,5,14
2007,Zucchini Bread,4,14
2007,What Is Autism,,14
2008,Morgage Crisis,4,14
2008,Housing Crisis,4,14
2008,Rashid Khalidi,,14
2008,Olympic Mascot,,14
2008,Georgia Mascot,,14
2008,Alabama Mascot,,14
2008,Harvard Mascot,,14
2008,Jonas Brothers,4,14
2008,Hannah Montana,,14
2008,Project Runway,4,14
2009,Torpedo Gratis,,14
2009,Secret Story 3,,14
2009,Schweinegrippe,,14
2009,Energy Economy,,14
2010,Whooping Cough,3,14
2010,Anhembi Parque,,14
2010,Kim Kardashian,5,14
2010,Taylor Lautner,,14
2010,Transformers 3,,14
2010,Kак жрать суши,,14
2010,Applebees Menu,5,14
2010,Text to donate,4,14
2011,Hotmail Correo,,14
2011,Delta Airlines,4,14
2011,Little Caesars,4,14
2011,Ryan Dunn Dead,4,14
2011,Ellen G. White,,14
2012,Avenida Brasil,,14
2012,Michael Phelps,3,14
2012,Peyton Manning,4,14
2012,Kate Middleton,4,14
2012,Morgan Freeman,4,14
2013,Typhoon Haiyan,4,14
2013,Syria Conflict,5,14
2013,Les Misérables,,14
2013,Charlie Hunnam,,14
2013,Mindy McCready,,14
2013,Dakota Johnson,5,14
2013,Under The Dome,,14
2013,Big Brother 15,,14
2013,Masters of Sex,4,14
2013,Nelson Mandela,5,14
2014,Robin Williams,4,14
2014,Conchita Wurst,,14
2014,Sochi Olympics,5,14
2014,Peaches Geldof,4,14
2014,Shirley Temple,4,14
2014,USA vs Germany,6,14
2014,Audrey Hepburn,,14
2014,Halloween 2014,,14
2014,Samsung Note 4,,14
2014,Amal Alamuddin,,14
2015,Jurassic World,4,14
2015,Caitlyn Jenner,4,14
2015,Bobbi Kristina,,14
2015,San Bernardino,5,14
2015,Meghan Trainor,4,14
2016,Bernie Sanders,4,14
2016,Tom Hiddleston,,14
2016,Doctor Strange,3,14
2017,Hurricane Irma,5,14
2017,13 Reasons Why,,14
2017,Fidget Spinner,4,14
2017,Hurricane Jose,5,14
2017,Charlie Murphy,4,14
2017,Justice League,,14
2017,Thor: Ragnarok,,14
2017,Bad and Boujee,4,14
2017,Bill Skarsgård,,14
2017,Kendrick Lamar,4,14
2017,Joe Biden Meme,,14
2017,Dutch election,,14
2018,Jair Bolsonaro,,14
2018,Hailey Baldwin,4,14
2018,Stormy Daniels,4,14
2018,Alexis Sánchez,,14
2018,Conor McGregor,5,14
2018,A Star Is Born,4,14
2018,Altered Carbon,,14
2019,Greta Thunberg,4,14
2019,Captain Marvel,4,14
2019,Karl Lagerfeld,,14
2001,Final Fantasy,5,13
2001,The Economist,5,13
2001,Lisa Harrison,5,13
2001,Melbourne Cup,3,13
2001,Counterstrike,3,13
2001,Commandos Two,4,13
2001,Kylie Minogue,4,13
2001,Josh Hartnett,3,13
2002,David Beckham,4,13
2002,Allen Iverson,5,13
2002,The Osbournes,3,13
2002,American Idol,5,13
2002,Jedi Knight 2,4,13
2002,Dungeon Siege,3,13
2003,Dragon Ball Z,4,13
2003,Orlando Bloom,4,13
2003,Laci Peterson,5,13
2003,Jessica Lynch,4,13
2004,PlayStation 2,4,13
2004,Avril Lavigne,4,13
2004,Residence Inn,4,13
2004,Fairfield Inn,3,13
2004,Louis Vuitton,4,13
2004,Nicholas Berg,4,13
2004,Spalding Gray,3,13
2004,Marlon Brando,4,13
2004,Janet Jackson,4,13
2004,Mountain Bike,3,13
2004,Running Shoes,3,13
2005,Computer Desk,4,13
2006,Zidane Jersey,,13
2006,Brazil Jersey,,13
2006,Avril Wedding,4,13
2006,Where is Togo,4,13
2006,Where is Matt,3,13
2006,Where is .com,4,13
2006,Who is Capote,5,13
2006,Who is Banksy,4,13
2006,What is Xanax,4,13
2006,Curtis Martin,4,13
2006,How to Scream,3,13
2006,How to Tattoo,4,13
2006,Define Ensayo,,13
2007,Kurt Vonnegut,4,13
2007,Borat Lawsuit,,13
2007,Pants Lawsuit,,13
2007,Paxil Lawsuit,,13
2007,Fred Thompson,,13
2007,Rudy Giuliani,6,13
2007,Who Is Lookup,4,13
2007,Bubbly Lyrics,,13
2007,Mojito Recipe,6,13
2007,Chicken Salad,4,13
2007,What Is Lupus,4,13
2008,Credit Crisis,4,13
2008,William Ayers,,13
2008,White Russian,3,13
2008,Fried Chicken,3,13
2008,Auburn Mascot,,13
2008,Bleeding Love,,13
2008,One Tree Hill,3,13
2008,Kenny Chesney,4,13
2008,Rascal Flatts,3,13
2008,George Carlin,,13
2008,DIY Halloween,,13
2008,Indiana Jones,5,13
2008,Who is McCain,4,13
2008,Biggest Loser,4,13
2009,EuroChocolate,4,13
2009,Amy Winehouse,4,13
2010,Oxford Street,,13
2010,Justin Bieber,4,13
2010,Dominos Pizza,5,13
2011,Htc Sensation,,13
2011,Wer-Kennt-Wen,,13
2011,Battlefield 3,4,13
2011,Rebecca Black,4,13
2011,Disney Junior,,13
2011,The Lazy Song,,13
2011,Casey Anthony,5,13
2011,Dpt Conforama,,13
2011,John Dahlback,,13
2012,Galaxy Note 2,5,13
2012,One Direction,4,13
2012,Olympics 2012,8,13
2012,Gangnam Style,3,13
2012,Call Me Maybe,4,13
2013,Jason Collins,,13
2013,The Conjuring,,13
2013,Cory Monteith,,13
2013,Sleepy Hollow,,13
2013,The Blacklist,,13
2013,PlayStation 4,,13
2013,Blackberry 10,,13
2014,Jules Bianchi,,13
2014,Lauren Bacall,,13
2015,Charlie Hebdo,4,13
2015,Charlie Sheen,3,13
2015,Leonard Nimoy,,13
2015,Zhanna Friske,,13
2015,Scott Weiland,,13
2015,Surface Pro 4,,13
2015,Jessica Jones,,13
2015,One Punch Man,,13
2015,Scream Queens,,13
2016,Suicide Squad,4,13
2016,Melania Trump,5,13
2016,T20 World Cup,,13
2016,Hacksaw Ridge,,13
2016,Michael Bublé,4,13
2016,Teyana Taylor,,13
2016,Leonard Cohen,,13
2016,iPhone 7 Plus,,13
2016,Panama Papers,5,13
2017,Meghan Markle,4,13
2017,Solar Eclipse,4,13
2017,Chris Cornell,,13
2017,David Cassidy,,13
2017,American Gods,,13
2017,Saoirse Ronan,,13
2017,Michael Flynn,3,13
2017,Ariana Grande,6,13
2018,Black Panther,3,13
2018,Kawhi Leonard,5,13
2018,Incredibles 2,,13
2018,A Quiet Place,4,13
2018,Lost in Space,3,13
2018,Burt Reynolds,3,13
2018,Pete Davidson,4,13
2018,Noah Centineo,,13
2018,Donald Glover,4,13
2018,Royal Wedding,4,13
2018,Roseanne Barr,3,13
2019,Cameron Boyce,,13
2019,Antonio Brown,5,13
2019,James Charles,,13
2019,Billie Eilish,4,13
2019,Lori Loughlin,,13
2019,Lauren London,,13
2019,Megan Rapinoe,5,13
2019,Iker Casillas,,13
2019,The Lion King,4,13
2019,Nipsey Hussle,4,13
2019,Emiliano Sala,,13
2019,Gugu Liberato,,13
2019,Gabriel Diniz,,13
2019,Sushma Swaraj,,13
2019,Old Town Road,3,13
2001,Harry Potter,4,12
2001,Pearl Harbor,4,12
2001,Moulin Rouge,3,12
2001,British Open,4,12
2001,World Series,3,12
2001,Empire Earth,4,12
2001,Mariah Carey,5,12
2001,The Simpsons,3,12
2001,Gran Hermano,4,12
2001,Circuit City,4,12
2001,Howard Stern,3,12
2002,Vince Carter,3,12
2002,Easter Bunny,4,12
2002,The Sopranos,4,12
2002,Isla Perejil,5,12
2003,Dixie Chicks,3,12
2004,Toyota Supra,5,12
2004,Prom Dresses,3,12
2004,Paris Hilton,4,12
2004,Steve Madden,3,12
2004,Kenneth Cole,3,12
2004,Office Depot,4,12
2004,Chicago Cubs,4,12
2004,Finding Nemo,4,12
2004,Airsoft Guns,3,12
2005,iPod Shuffle,4,12
2006,Italy Jersey,,12
2006,Who is Borat,4,12
2006,What is Ajax,4,12
2006,Bobby Bowden,4,12
2006,How to Drift,3,12
2007,Chris Benoit,,12
2007,Fidel Castro,4,12
2007,RIAA Lawsuit,,12
2007,Dell Lawsuit,,12
2007,Barack Obama,5,12
2007,John Edwards,3,12
2007,Who Is Jesus,4,12
2007,Who Is Satan,4,12
2007,How to Dance,3,12
2007,How to Flirt,3,12
2007,Taylor Swift,3,12
2007,Simple Syrup,4,12
2007,What Is Love,3,12
2007,What Is Java,,12
2007,What Is Gout,3,12
